age,workclass,fnlwgt,education,marital-status,occupation,capital-gain,capital-loss,hours-per-week,race
23,4,3225,9,4,12,0,0,30,5
17,4,13755,1,4,12,0,0,24,5
52,7,9394,15,2,13,0,0,45,5
73,6,6409,11,4,8,0,0,36,4
61,2,7454,12,2,4,93,0,60,4
33,4,7191,11,2,12,0,0,45,4
42,4,18591,11,4,7,0,0,40,5
61,4,19850,11,2,10,52,0,40,5
19,4,6090,2,4,8,0,0,40,4
19,4,7015,5,4,3,0,0,40,5
52,4,9513,6,6,8,0,0,25,4
24,4,5813,15,4,1,0,0,40,4
19,4,2126,2,4,5,0,0,30,4
50,4,511,11,2,3,0,0,40,4
45,7,18810,8,2,10,0,0,40,5
38,4,10896,9,4,1,0,0,35,4
27,4,911,7,4,8,0,0,40,4
29,4,14243,15,0,6,27,0,40,5
33,2,674,12,2,10,0,0,40,2
49,7,6668,10,2,10,0,49,60,4
58,6,39,11,2,7,0,0,40,5
24,2,7852,15,5,11,0,0,60,4
44,7,1804,11,4,3,0,0,40,4
43,4,5267,9,4,12,0,0,60,1
30,4,3145,9,2,4,0,0,45,4
67,6,4417,10,2,12,113,0,40,4
23,4,18362,15,4,1,0,0,25,2
37,2,17339,7,3,8,0,0,50,4
27,7,17782,12,4,10,0,0,40,4
45,4,2730,8,2,3,0,0,40,5
45,6,8710,9,2,4,0,0,45,4
27,4,7041,11,4,7,0,0,40,4
47,5,7447,9,2,4,0,0,90,5
64,4,37,11,2,4,0,0,40,4
40,2,8115,11,2,8,53,0,40,4
46,4,1724,15,2,13,0,0,40,4
17,4,2032,6,4,8,0,0,20,4
18,0,5545,11,4,0,0,0,24,4
62,4,10501,9,2,4,0,0,35,2
41,4,8345,15,5,6,0,0,40,5
34,4,15788,9,4,10,0,0,40,1
38,4,2176,15,0,12,0,0,40,4
22,7,10805,9,4,10,0,0,20,5
42,4,10230,9,4,1,0,0,35,5
32,4,13893,9,0,12,0,0,30,4
45,4,11829,11,3,1,0,0,30,4
21,4,8169,11,2,6,0,0,40,5
25,7,11521,15,4,6,0,0,40,2
41,4,9623,9,0,4,0,0,45,4
38,2,18046,12,0,10,0,0,40,4
40,4,8432,15,4,3,0,0,38,5
33,4,20936,11,3,1,0,0,32,5
50,6,19915,0,0,12,0,0,50,4
46,4,15481,11,2,7,0,24,40,5
68,6,21404,11,2,5,0,0,20,4
26,4,13428,12,4,10,0,0,40,4
62,6,12636,11,2,3,0,39,40,4
20,4,5452,11,4,8,0,0,40,4
66,0,11692,9,2,0,0,0,24,4
24,4,12950,11,4,3,0,0,45,5
34,4,7711,11,2,13,0,0,32,2
35,4,1449,11,2,5,0,0,35,4
22,4,5399,9,4,1,0,0,35,4
52,4,10787,15,2,14,0,0,30,5
25,4,7799,11,4,7,0,0,40,5
44,2,15980,8,2,14,70,0,40,2
35,4,649,11,0,8,0,0,35,1
31,5,16052,11,2,12,0,0,50,5
30,2,8229,9,2,11,0,0,72,4
31,4,4671,9,4,10,0,0,40,2
41,4,8723,7,4,1,0,0,45,5
90,4,18835,9,2,12,0,0,20,4
46,4,4299,11,2,7,0,0,40,4
54,4,11078,15,2,12,53,0,50,4
49,6,14578,9,2,12,110,0,40,4
49,4,248,11,5,7,0,0,40,5
20,4,17169,15,4,10,3,0,20,4
19,4,19221,0,4,3,0,0,40,4
22,4,6718,0,2,12,0,0,40,4
50,4,3652,8,2,8,0,0,40,4
60,4,8384,15,0,1,0,0,40,4
42,4,20945,11,0,6,0,0,40,4
35,4,7471,11,2,3,0,0,42,4
40,4,7206,11,0,1,0,0,40,4
40,4,17898,6,4,3,0,0,49,4
32,4,12657,11,4,1,0,0,40,5
31,4,2478,9,2,10,0,0,47,5
20,4,15816,15,4,12,0,0,30,2
32,4,3330,8,2,14,0,0,45,4
38,4,1993,8,2,13,0,0,50,5
41,4,11841,11,2,3,0,0,45,5
43,6,9734,7,2,3,0,0,20,5
42,4,9981,11,3,1,0,0,52,1
49,4,11755,11,2,12,0,0,50,4
20,4,8448,11,2,3,0,0,40,4
41,4,2003,11,0,1,0,0,43,4
38,4,540,15,0,1,0,0,52,5
38,4,3588,11,2,1,0,0,60,4
53,6,11570,8,5,3,0,0,40,4
37,4,6070,11,4,13,107,0,35,2
42,4,21804,13,2,3,0,0,40,4
30,4,3914,9,4,12,0,0,40,5
23,4,14099,11,4,1,0,0,40,1
20,4,17656,13,4,8,0,0,32,4
34,4,15161,11,2,3,0,0,70,5
37,5,12503,12,2,4,0,0,70,2
55,7,16696,9,0,4,0,0,40,4
39,4,456,11,0,6,0,0,40,5
45,4,9120,15,0,13,0,0,40,4
41,4,2913,11,2,1,79,0,30,5
33,4,11536,9,4,10,0,40,40,4
31,4,6253,1,2,5,0,0,55,5
69,4,18634,11,2,14,0,0,28,5
35,4,3832,11,2,4,0,0,50,4
37,4,11244,9,4,8,0,0,20,5
40,6,5718,14,2,10,0,52,50,5
35,4,16927,11,0,14,0,40,60,4
24,4,20817,2,4,14,0,0,55,5
32,4,4594,2,2,14,0,0,60,5
25,4,4620,11,4,6,0,0,40,5
34,2,5596,11,0,11,0,0,40,4
48,4,1301,8,0,10,73,0,50,5
32,4,19331,11,2,12,0,0,40,5
41,4,12319,9,0,10,0,0,40,5
41,4,1288,11,4,7,27,0,41,4
34,2,9389,11,0,1,0,0,33,4
58,4,20325,15,2,8,0,0,30,4
31,4,4866,9,4,4,0,0,40,4
50,4,13485,12,2,12,110,0,40,3
19,4,17655,6,4,5,0,0,16,4
60,4,11467,11,2,7,0,0,40,4
54,6,589,11,2,12,0,0,30,4
33,4,4081,8,0,12,0,0,50,5
19,6,3993,1,4,1,0,0,30,4
32,4,14484,11,2,3,0,0,40,4
23,4,15761,15,4,1,0,0,40,5
20,4,11802,2,4,8,0,0,40,4
63,4,11578,12,2,10,79,0,45,5
20,4,6523,0,4,6,0,0,30,5
31,4,5533,12,2,13,0,49,40,4
27,4,6755,12,4,4,0,0,40,5
50,6,20700,9,2,12,0,0,60,4
18,4,16057,1,4,6,0,0,15,5
29,2,5337,8,0,11,0,0,56,4
31,4,13779,11,2,8,0,0,40,4
49,5,20255,12,0,10,119,0,80,4
19,4,8525,11,4,6,0,0,37,5
22,0,15276,15,3,0,0,0,40,4
26,4,11330,7,4,13,0,0,20,4
17,4,5745,6,4,3,0,0,40,4
75,5,9057,1,4,4,0,0,50,4
35,4,14667,11,0,8,0,26,40,4
62,4,4803,15,6,9,0,0,40,4
61,0,15062,11,0,0,76,0,40,4
57,7,13215,11,2,3,0,0,40,5
76,4,2394,5,6,8,0,0,25,4
43,2,10728,9,0,4,0,0,42,4
45,4,179,9,2,3,0,0,72,4
67,0,11856,1,2,0,0,0,40,4
28,4,8860,11,4,8,0,0,40,2
22,4,18788,11,4,14,0,0,40,4
20,4,10280,7,4,1,0,0,20,5
52,5,20799,9,2,4,0,0,60,5
25,4,10883,11,4,3,0,0,40,4
27,4,21658,15,0,12,0,0,40,4
25,6,1790,11,4,3,0,0,36,5
23,4,14845,9,4,10,0,0,30,5
37,4,6151,11,4,3,0,0,40,4
51,4,5007,12,6,4,109,0,40,5
45,4,16250,1,2,3,0,0,42,4
60,4,2963,11,2,12,0,0,40,4
31,4,15035,11,4,3,0,0,50,4
22,0,12585,15,5,0,0,0,25,4
54,4,15090,12,2,10,0,0,40,5
45,2,9801,9,0,4,0,0,60,4
48,4,15706,1,0,8,0,0,31,1
49,4,5278,11,2,7,0,0,40,1
22,0,18174,4,2,0,0,0,40,4
47,6,9951,15,0,4,0,0,65,4
36,4,21030,1,2,1,0,0,40,5
35,4,4058,11,4,14,0,0,60,4
39,4,6833,11,4,8,0,0,47,5
51,7,12311,15,0,10,0,0,40,4
24,2,652,7,2,8,0,0,40,4
23,4,6142,11,4,3,0,0,40,4
17,0,6980,0,4,0,0,0,20,4
53,5,1791,12,2,4,0,0,40,4
37,5,11382,11,2,12,96,0,60,4
22,4,13505,9,4,1,6,0,30,4
29,5,13584,14,2,10,0,0,55,4
43,5,10170,15,2,4,0,0,40,4
58,2,3397,7,6,1,0,0,40,4
45,4,5889,4,4,7,0,0,40,5
32,4,11289,8,0,8,0,0,40,4
61,0,2345,11,2,0,0,0,37,4
50,5,5758,1,4,4,0,79,40,2
45,4,10832,15,2,3,0,0,46,5
40,5,3392,9,2,3,0,0,40,4
18,4,21390,15,4,1,0,0,20,4
40,4,13472,12,2,4,0,0,50,5
22,4,349,2,4,5,0,0,50,4
41,4,20131,15,2,13,0,0,45,5
43,4,16959,4,3,5,0,0,35,4
44,4,10791,9,2,10,0,0,50,0
31,1,8553,7,4,1,0,0,40,5
28,2,9398,12,4,10,0,0,40,5
32,4,420,11,0,1,0,0,45,5
69,6,9080,11,2,10,0,0,20,5
30,4,16167,11,2,7,0,55,43,5
21,4,8095,15,2,7,0,0,40,5
72,6,21547,11,2,12,0,0,30,4
34,4,3132,12,2,4,0,48,50,4
67,6,3536,15,6,8,33,0,33,5
22,4,11960,15,4,12,0,0,30,5
28,4,16240,11,4,12,0,0,40,5
45,4,17531,0,2,3,0,0,60,4
62,6,13331,15,2,12,0,0,25,4
22,4,21496,3,4,3,0,0,40,4
25,7,4624,15,2,11,0,0,40,4
29,4,11066,0,4,8,0,0,40,4
50,4,18537,9,2,10,0,0,40,4
45,4,10185,12,2,4,0,0,60,5
36,2,16650,9,4,11,0,0,40,4
29,4,1709,8,2,1,0,0,40,4
38,4,5105,11,2,12,0,0,44,4
24,2,20713,15,2,11,0,0,40,4
68,2,14086,0,2,8,0,0,20,5
28,4,13928,7,2,1,0,0,35,4
41,4,3233,11,0,3,0,0,40,4
41,7,13854,11,4,8,0,0,40,4
23,4,5448,11,4,1,0,0,36,5
33,4,10298,12,2,10,81,0,10,4
31,4,16269,1,2,11,0,0,40,5
36,4,5819,15,2,3,0,0,40,5
18,4,20490,0,4,14,0,0,56,4
53,4,9037,9,2,1,0,48,65,5
33,4,2791,11,4,8,0,0,48,2
41,4,12225,11,2,3,0,18,40,4
34,4,16167,11,4,3,23,0,30,4
33,4,3365,2,0,4,0,0,40,4
34,4,13837,15,0,10,0,0,15,5
21,4,13514,15,4,1,0,0,50,2
23,4,12232,11,2,1,66,0,40,4
24,4,12688,9,4,10,0,0,40,2
51,4,2988,9,2,10,0,0,55,4
75,0,860,10,4,0,0,0,40,4
47,4,12144,11,2,1,0,0,50,4
44,1,6434,9,5,4,0,0,60,5
36,4,21927,6,0,1,0,0,40,4
52,4,4837,10,4,4,0,0,40,4
57,5,15390,12,2,4,0,0,50,5
43,4,5348,11,2,4,0,0,36,1
17,0,9802,0,4,0,0,0,40,4
32,5,14933,9,2,4,119,0,60,5
19,4,12053,11,4,10,0,0,40,1
21,7,7524,15,4,12,0,27,12,4
28,4,2917,11,2,14,0,0,40,5
55,4,8701,11,2,12,0,0,56,4
22,4,18699,11,4,3,0,0,40,4
66,4,9237,1,2,12,0,0,26,4
34,4,3065,15,2,1,0,0,40,5
38,4,6403,15,0,13,0,37,40,5
60,4,5120,9,0,4,0,0,40,4
30,4,2661,15,4,1,0,0,25,5
45,4,8710,11,2,3,0,0,40,4
27,4,5938,9,0,4,0,0,42,5
27,4,1533,15,4,4,0,0,40,5
23,4,12263,9,4,12,0,0,60,4
44,4,14402,11,0,8,0,0,37,4
28,0,9289,0,0,0,0,0,50,4
38,4,12247,7,2,4,0,0,55,4
21,4,379,11,4,8,0,0,50,2
27,4,3711,15,0,3,0,0,40,4
20,4,3201,11,4,6,0,0,40,5
21,4,20337,11,2,12,0,0,38,5
39,6,18978,9,4,12,0,0,60,4
67,5,55,15,2,12,113,0,40,5
35,4,4293,11,0,4,0,0,20,5
41,1,17565,15,2,8,0,0,40,5
29,2,4526,14,4,10,0,0,70,4
47,4,2826,15,6,8,0,0,35,4
49,2,7499,4,2,8,0,0,40,4
28,4,13826,6,2,7,0,0,40,4
33,4,10743,15,5,1,0,0,40,4
34,4,393,11,4,8,0,0,40,5
67,5,21059,11,6,4,111,0,40,4
22,4,21074,11,4,12,0,0,40,4
44,4,17219,9,0,1,0,0,40,2
49,4,10232,15,2,12,0,0,80,4
19,4,6362,0,4,8,0,0,30,2
24,4,10297,9,4,3,0,0,40,5
35,4,6975,11,2,1,0,0,40,5
64,2,1380,10,2,11,0,0,45,5
56,5,5965,14,2,10,119,0,45,5
25,4,15518,11,4,3,0,0,40,4
52,4,15619,11,0,1,0,0,40,5
30,4,1752,6,4,12,0,0,40,4
28,4,401,15,4,1,0,0,40,5
34,0,3477,11,5,0,0,0,8,2
28,4,77,15,4,6,0,0,40,4
39,4,659,1,2,7,0,0,40,4
40,5,7432,9,2,3,0,0,15,2
55,2,9470,11,2,14,0,0,44,4
66,6,18233,11,2,5,12,0,40,4
47,2,8847,9,0,10,0,0,35,5
25,2,5457,9,4,10,0,0,35,4
44,4,4959,15,2,3,0,0,40,5
53,1,14719,11,0,3,0,0,40,4
36,4,5454,8,2,10,0,0,40,5
55,4,1196,1,2,8,0,0,30,4
50,4,686,11,0,3,0,0,40,5
31,4,7634,15,4,1,0,0,35,5
28,4,17530,12,4,10,0,0,50,4
78,2,3123,11,6,1,0,0,5,5
46,4,17678,11,2,8,0,0,40,5
51,4,17599,11,0,1,0,0,40,5
27,2,2248,9,4,10,55,0,43,4
44,4,14802,11,2,3,0,18,40,4
28,4,3615,9,4,4,0,0,40,4
29,4,5165,15,2,4,0,0,40,4
46,4,8637,9,2,4,0,0,40,4
36,4,13659,9,2,10,93,0,40,5
44,2,8874,12,2,10,0,0,35,4
50,1,19661,15,2,4,0,0,40,4
41,6,17081,1,0,8,0,0,40,3
62,4,12285,11,0,7,27,0,40,1
39,4,870,15,2,5,0,0,60,4
58,4,4871,11,4,3,0,0,40,5
40,4,3084,8,2,6,0,0,40,5
21,4,19130,15,4,10,0,0,30,5
52,4,814,11,6,3,0,0,40,4
19,0,21331,15,4,0,0,0,15,4
52,4,12119,2,5,7,0,0,40,5
56,4,13482,3,5,7,0,0,40,4
38,4,4662,11,0,7,27,0,40,5
49,4,17455,15,2,3,110,0,60,5
23,4,6148,9,4,10,0,0,30,5
27,4,9359,15,4,6,0,0,48,4
30,4,13355,9,4,12,0,40,48,4
38,4,15953,12,2,4,0,0,48,4
47,4,6029,8,2,4,110,0,50,2
41,4,5718,1,2,3,0,0,50,5
39,4,631,11,2,1,0,0,40,5
44,4,21512,11,2,3,0,0,40,4
45,4,8178,12,2,4,0,0,40,4
39,4,14973,8,2,1,0,0,40,5
22,4,18812,15,4,8,55,0,40,4
44,4,21701,9,2,4,0,0,40,4
53,5,8472,15,0,4,0,0,60,4
24,4,12885,9,4,4,0,0,15,4
43,4,3341,9,2,4,0,0,40,4
20,4,6003,15,4,1,0,0,24,4
25,4,2560,15,2,1,0,0,40,4
64,1,18502,7,2,4,100,0,45,4
28,4,18538,14,4,10,0,0,45,5
24,4,2339,15,4,12,0,0,40,4
24,4,21398,2,2,3,0,0,40,4
47,4,17053,15,2,10,0,0,50,4
37,4,20181,8,2,14,110,0,50,1
51,4,9274,11,2,7,0,0,40,4
25,4,20958,11,4,6,0,0,36,5
26,4,1979,9,4,12,0,0,40,4
21,4,20542,4,4,9,0,0,40,2
30,4,10406,11,2,13,0,0,40,4
43,5,675,9,2,12,0,0,45,4
26,7,3423,14,4,10,0,0,80,5
42,4,2427,15,2,4,0,0,50,4
29,6,8716,0,2,3,0,0,35,4
47,4,20249,12,2,10,0,0,40,5
34,2,10444,9,2,4,0,0,55,2
27,4,5282,6,2,3,0,0,32,4
28,0,5064,1,4,0,0,0,30,4
46,6,263,11,2,3,0,0,48,5
47,4,4622,0,2,12,0,0,65,4
28,4,2487,0,4,14,0,0,30,4
25,4,12897,15,2,4,0,0,15,4
42,4,1,8,0,10,0,0,40,5
23,4,9633,11,6,4,0,0,38,5
56,7,4141,11,0,1,0,0,35,5
40,4,4277,11,2,12,0,0,30,5
33,4,13368,15,2,4,0,0,56,4
58,4,15620,8,2,4,0,0,40,2
39,4,1842,11,0,8,0,0,40,4
55,4,4035,11,2,8,0,0,33,5
27,4,4509,12,4,10,0,0,50,5
33,4,8931,11,2,6,63,0,40,4
38,4,19555,1,4,3,9,0,40,5
19,4,6904,15,4,1,0,0,10,5
35,4,21281,11,2,6,0,0,40,2
23,2,15799,11,4,1,0,0,40,5
34,0,19876,1,0,0,0,0,84,4
26,4,18131,4,2,5,0,0,30,4
44,4,8416,9,2,10,0,52,50,4
66,7,12761,5,6,8,49,0,40,5
24,4,5574,11,4,14,0,0,50,4
47,1,12021,7,2,1,0,0,40,2
42,1,16975,9,4,4,0,0,40,4
36,4,21935,15,0,1,0,0,40,4
41,4,21202,9,2,10,110,0,50,5
27,4,13015,8,5,1,0,0,40,5
38,6,4883,14,4,10,0,0,32,5
39,6,7138,11,2,12,0,0,50,4
30,4,3049,15,4,6,0,0,45,5
30,2,20278,9,4,10,0,0,40,4
39,0,13401,15,0,0,0,0,20,4
31,6,1831,6,4,3,0,0,47,5
55,4,14425,11,0,4,0,0,40,5
61,6,4888,9,2,5,0,0,20,4
40,6,9955,15,2,3,0,0,45,5
28,4,6996,9,2,10,0,48,40,4
30,4,10267,8,0,1,0,0,24,4
27,4,3254,15,4,1,0,0,60,4
35,4,9327,9,2,4,0,0,60,5
