age,workclass,education,occupation,hours-per-week,income
39,Private,Assoc-acdm,Sales,40,0
36,State-gov,Doctorate,Prof-specialty,36,1
48,Private,Masters,Exec-managerial,40,0
26,Private,Some-college,Craft-repair,35,0
81,Private,Prof-school,Sales,45,0
48,Private,10th,Craft-repair,65,1
47,Private,Bachelors,Farming-fishing,65,0
29,Private,Assoc-voc,Exec-managerial,40,0
46,Private,HS-grad,Handlers-cleaners,48,0
45,Local-gov,Some-college,Prof-specialty,50,1
34,Private,10th,Craft-repair,40,0
50,Private,HS-grad,Sales,40,0
47,Local-gov,Masters,Prof-specialty,45,1
64,Self-emp-not-inc,HS-grad,Craft-repair,50,0
32,Private,HS-grad,Machine-op-inspct,40,0
23,?,Some-college,?,15,0
23,Private,10th,Handlers-cleaners,40,0
68,Self-emp-not-inc,HS-grad,Exec-managerial,10,0
21,Local-gov,HS-grad,Other-service,40,0
51,Private,Masters,Protective-serv,40,1
24,Local-gov,Bachelors,Prof-specialty,20,0
24,State-gov,Bachelors,Prof-specialty,20,0
37,Private,HS-grad,Machine-op-inspct,40,0
48,Private,Doctorate,Prof-specialty,40,1
43,Federal-gov,Bachelors,Tech-support,50,0
20,Private,Some-college,Sales,20,0
45,Self-emp-inc,Prof-school,Prof-specialty,55,1
37,Private,Bachelors,Exec-managerial,50,0
35,?,Some-college,?,40,0
26,Private,Some-college,Machine-op-inspct,45,1
31,State-gov,Masters,Exec-managerial,50,1
30,Private,9th,Sales,40,0
39,Private,Bachelors,Tech-support,40,0
25,Private,HS-grad,Adm-clerical,40,0
61,Private,Preschool,Transport-moving,40,0
27,Private,Assoc-voc,Sales,50,0
31,Private,HS-grad,Tech-support,40,0
47,Private,HS-grad,Craft-repair,44,0
42,Private,Some-college,Adm-clerical,40,0
37,Private,Some-college,Exec-managerial,42,1
33,Private,HS-grad,Craft-repair,60,0
46,Private,HS-grad,Craft-repair,40,0
28,Private,HS-grad,Adm-clerical,40,0
40,Private,Some-college,Exec-managerial,20,0
37,Self-emp-not-inc,HS-grad,Farming-fishing,50,0
38,Self-emp-not-inc,Bachelors,Prof-specialty,35,0
26,Private,HS-grad,Other-service,35,0
50,Private,HS-grad,Handlers-cleaners,38,0
55,Federal-gov,Some-college,Adm-clerical,40,1
47,Private,Assoc-acdm,Craft-repair,40,0
27,Private,Some-college,Machine-op-inspct,40,0
66,Private,Masters,Sales,40,0
36,Private,Assoc-acdm,Machine-op-inspct,50,0
22,Local-gov,Bachelors,Prof-specialty,35,0
38,Private,HS-grad,Sales,55,0
46,Self-emp-not-inc,HS-grad,Sales,50,0
29,Private,HS-grad,Craft-repair,35,0
33,Private,HS-grad,Prof-specialty,88,0
41,Self-emp-not-inc,Prof-school,Prof-specialty,50,0
84,Private,HS-grad,Priv-house-serv,40,0
21,?,Some-college,?,40,0
67,Self-emp-inc,HS-grad,Prof-specialty,30,1
32,Federal-gov,Prof-school,Prof-specialty,55,0
52,Private,10th,Craft-repair,40,0
36,Private,Assoc-acdm,Craft-repair,50,0
24,Private,HS-grad,Craft-repair,40,0
63,Self-emp-not-inc,Some-college,Exec-managerial,50,0
42,Private,Prof-school,Prof-specialty,80,0
23,Private,HS-grad,Transport-moving,40,0
17,Private,11th,Other-service,20,0
36,?,Assoc-acdm,?,21,0
20,Federal-gov,Some-college,Adm-clerical,40,0
25,Private,Some-college,Handlers-cleaners,40,0
34,Private,Masters,Exec-managerial,50,1
43,Self-emp-not-inc,Prof-school,Prof-specialty,60,0
18,Private,HS-grad,Other-service,15,0
44,Private,Bachelors,Exec-managerial,60,1
39,Private,Some-college,Exec-managerial,40,1
51,Private,HS-grad,Exec-managerial,40,0
18,?,12th,?,25,0
30,Local-gov,12th,Adm-clerical,40,0
24,Private,Some-college,Sales,37,0
46,Private,Some-college,Tech-support,45,1
45,Private,Bachelors,Exec-managerial,40,1
30,Private,10th,Transport-moving,55,0
24,?,Bachelors,?,40,0
49,Private,HS-grad,Craft-repair,40,0
42,Private,7th-8th,Other-service,48,0
51,State-gov,Doctorate,Prof-specialty,30,0
25,Private,Bachelors,Tech-support,40,0
42,Private,Some-college,Adm-clerical,38,0
19,?,Some-college,?,40,0
49,Private,HS-grad,Adm-clerical,20,0
44,Local-gov,Prof-school,Prof-specialty,40,1
43,Private,HS-grad,Craft-repair,45,0
27,Private,Some-college,Exec-managerial,40,0
23,Private,Bachelors,Craft-repair,40,0
20,Private,10th,Handlers-cleaners,30,0
28,Private,Bachelors,Tech-support,40,1
37,Private,Masters,Exec-managerial,60,0
31,Private,HS-grad,Handlers-cleaners,40,0
51,Private,HS-grad,Handlers-cleaners,42,0
26,Self-emp-not-inc,Assoc-acdm,Farming-fishing,75,0
54,Private,HS-grad,Sales,50,0
22,Self-emp-not-inc,HS-grad,Farming-fishing,40,0
41,Private,HS-grad,Machine-op-inspct,48,0
25,Local-gov,Bachelors,Exec-managerial,20,0
50,Private,HS-grad,Craft-repair,40,0
28,Local-gov,Assoc-acdm,Craft-repair,5,0
67,Self-emp-inc,Bachelors,Exec-managerial,75,1
20,Private,HS-grad,Adm-clerical,30,0
60,Private,Assoc-voc,Machine-op-inspct,45,0
47,Self-emp-inc,Some-college,Exec-managerial,50,0
78,Private,7th-8th,Handlers-cleaners,15,0
42,Private,HS-grad,Exec-managerial,35,1
39,State-gov,Some-college,Sales,40,0
45,Self-emp-inc,Masters,Sales,40,0
34,Private,10th,Transport-moving,60,0
28,Local-gov,Assoc-voc,Protective-serv,46,0
49,Self-emp-inc,Some-college,Craft-repair,55,0
45,Private,HS-grad,Machine-op-inspct,40,0
60,Self-emp-inc,HS-grad,Craft-repair,40,0
33,Private,10th,Farming-fishing,40,0
42,Private,Some-college,Craft-repair,30,0
21,Private,Some-college,Other-service,32,0
49,Private,HS-grad,Adm-clerical,40,0
24,Private,Assoc-voc,Tech-support,38,0
45,Private,Assoc-voc,Craft-repair,40,1
26,Private,9th,Craft-repair,45,0
20,Private,Some-college,Exec-managerial,30,0
23,Private,Bachelors,Exec-managerial,40,0
32,Private,Bachelors,Prof-specialty,40,0
39,?,10th,?,15,0
46,Private,Some-college,Adm-clerical,35,0
54,Private,HS-grad,Other-service,40,0
25,Private,Assoc-voc,Prof-specialty,36,0
56,Private,HS-grad,Craft-repair,40,0
28,Private,Some-college,Adm-clerical,40,0
36,Private,HS-grad,Adm-clerical,40,0
23,Private,Some-college,Tech-support,20,0
44,Private,Some-college,Tech-support,40,0
20,Private,Some-college,Handlers-cleaners,40,0
28,Local-gov,HS-grad,Craft-repair,40,0
19,Private,Some-college,Sales,35,0
28,Private,Bachelors,Exec-managerial,40,0
73,Private,11th,Machine-op-inspct,15,0
56,Private,10th,Machine-op-inspct,40,0
49,?,HS-grad,?,40,0
32,Private,Masters,Exec-managerial,60,1
33,Local-gov,Bachelors,Prof-specialty,40,0
35,Private,11th,Craft-repair,40,0
44,Private,HS-grad,Craft-repair,40,1
24,Private,Assoc-voc,Sales,40,0
37,State-gov,HS-grad,Protective-serv,40,0
51,Local-gov,HS-grad,Protective-serv,40,1
28,Private,Some-college,Sales,45,0
33,Private,Some-college,Sales,48,1
70,Self-emp-inc,HS-grad,Exec-managerial,16,0
51,Self-emp-not-inc,HS-grad,Exec-managerial,60,0
41,Federal-gov,Masters,Prof-specialty,40,0
34,Private,Some-college,Craft-repair,38,0
64,Self-emp-inc,HS-grad,Adm-clerical,40,1
35,Private,Some-college,Transport-moving,40,0
56,Private,HS-grad,Other-service,10,0
43,Federal-gov,Masters,Protective-serv,35,1
20,Private,HS-grad,Sales,30,0
33,Private,Bachelors,Exec-managerial,60,0
45,State-gov,Doctorate,Prof-specialty,40,1
38,Private,HS-grad,Transport-moving,40,0
22,Private,HS-grad,Other-service,60,0
62,Self-emp-not-inc,Bachelors,Prof-specialty,40,1
49,State-gov,Masters,Prof-specialty,45,1
23,Private,HS-grad,Machine-op-inspct,48,0
59,Private,HS-grad,Adm-clerical,15,0
36,Private,Bachelors,Other-service,40,0
32,Private,Some-college,Adm-clerical,40,0
28,Private,Some-college,Tech-support,70,0
45,Private,HS-grad,Priv-house-serv,30,0
19,Private,Some-college,Sales,20,0
59,Private,HS-grad,Farming-fishing,48,0
26,Private,Bachelors,Adm-clerical,40,0
17,Private,11th,Other-service,20,0
61,Private,Some-college,Exec-managerial,40,0
64,Private,HS-grad,Transport-moving,45,0
43,Self-emp-not-inc,Bachelors,Machine-op-inspct,80,0
36,Private,11th,Transport-moving,43,0
37,Private,Bachelors,Exec-managerial,45,1
26,Federal-gov,HS-grad,Adm-clerical,40,0
26,Private,Assoc-voc,Craft-repair,65,0
48,State-gov,Bachelors,Exec-managerial,40,1
38,Private,HS-grad,Adm-clerical,20,0
25,Private,Bachelors,Prof-specialty,40,0
35,Private,HS-grad,Transport-moving,48,0
53,Private,12th,Farming-fishing,40,0
22,Private,Some-college,Other-service,40,0
32,Private,HS-grad,Handlers-cleaners,40,0
40,Self-emp-inc,Bachelors,Sales,45,0
21,Private,HS-grad,Farming-fishing,20,0
46,Private,Assoc-voc,Craft-repair,40,0
24,Private,HS-grad,Other-service,40,0
49,Private,HS-grad,Machine-op-inspct,40,0
42,Self-emp-inc,Some-college,Exec-managerial,60,0
34,Private,Some-college,Transport-moving,40,0
28,Private,Bachelors,Sales,40,0
34,Private,Some-college,Exec-managerial,45,0
32,Private,Assoc-acdm,Tech-support,42,1
25,Private,Some-college,Sales,25,0
21,Private,HS-grad,Other-service,40,0
43,Private,Masters,Prof-specialty,55,0
74,Self-emp-not-inc,Bachelors,Exec-managerial,12,1
19,State-gov,Some-college,Prof-specialty,40,0
60,Private,HS-grad,Transport-moving,40,0
44,Private,Bachelors,Prof-specialty,40,0
36,Private,HS-grad,Adm-clerical,40,0
44,Private,Bachelors,Exec-managerial,48,1
40,Local-gov,HS-grad,Adm-clerical,40,0
57,Private,Masters,Exec-managerial,40,0
25,Private,Bachelors,Sales,40,0
56,Self-emp-inc,Prof-school,Prof-specialty,32,1
39,Self-emp-not-inc,HS-grad,Craft-repair,40,0
20,Self-emp-not-inc,Some-college,Farming-fishing,40,0
20,Private,HS-grad,Craft-repair,40,0
41,Private,HS-grad,Transport-moving,40,0
61,Private,Some-college,Adm-clerical,40,1
71,?,HS-grad,?,40,0
44,Private,Some-college,Exec-managerial,40,1
32,Private,11th,Craft-repair,30,0
31,Self-emp-inc,HS-grad,Craft-repair,45,0
18,Private,HS-grad,Other-service,35,0
26,Private,Masters,Exec-managerial,48,0
19,Private,HS-grad,Farming-fishing,40,0
24,Private,Bachelors,Prof-specialty,40,0
55,Self-emp-not-inc,Masters,Sales,50,0
48,Local-gov,HS-grad,Craft-repair,40,0
45,Private,HS-grad,Exec-managerial,46,0
64,Self-emp-not-inc,Bachelors,Adm-clerical,5,0
19,Private,9th,Farming-fishing,16,0
36,Private,HS-grad,Transport-moving,43,0
32,Private,Some-college,Craft-repair,40,0
51,Federal-gov,Doctorate,Prof-specialty,52,1
19,Private,HS-grad,Craft-repair,40,0
29,Private,HS-grad,Handlers-cleaners,40,0
36,Private,Some-college,Craft-repair,60,0
76,?,9th,?,25,0
50,Self-emp-inc,11th,Exec-managerial,40,1
33,Private,Some-college,Machine-op-inspct,40,0
41,State-gov,Doctorate,Prof-specialty,40,1
63,Private,HS-grad,Sales,40,0
73,Private,Some-college,Sales,20,0
29,Private,Some-college,Craft-repair,45,0
38,Self-emp-not-inc,Assoc-voc,Exec-managerial,35,0
40,Private,HS-grad,Craft-repair,40,0
34,State-gov,HS-grad,Other-service,40,0
23,Private,Some-college,Other-service,40,0
33,Private,12th,Adm-clerical,40,0
61,Local-gov,Masters,Prof-specialty,25,0
42,Self-emp-not-inc,Some-college,Farming-fishing,66,0
27,Private,Bachelors,Exec-managerial,52,0
41,State-gov,Assoc-voc,Craft-repair,40,0
19,Private,Some-college,Other-service,25,0
25,Private,Assoc-voc,Craft-repair,40,0
33,Self-emp-not-inc,Some-college,Craft-repair,40,0
40,Private,10th,Craft-repair,55,0
19,?,Some-college,?,40,0
42,Private,Some-college,Sales,45,0
51,Private,HS-grad,Sales,40,0
28,Private,HS-grad,Sales,40,0
39,Private,11th,Craft-repair,35,0
30,Private,Assoc-voc,Sales,40,1
29,Private,Some-college,Machine-op-inspct,38,0
17,Private,9th,Farming-fishing,20,0
67,Local-gov,HS-grad,Protective-serv,20,0
20,Private,HS-grad,Sales,30,0
74,State-gov,Doctorate,Prof-specialty,20,1
18,Private,HS-grad,Sales,25,0
21,Private,Some-college,Exec-managerial,50,0
27,Private,Assoc-voc,Sales,60,0
38,Private,HS-grad,Transport-moving,99,0
23,Private,Some-college,Sales,40,0
73,State-gov,HS-grad,Adm-clerical,40,0
69,Self-emp-not-inc,Bachelors,Prof-specialty,45,1
17,Private,10th,Other-service,14,0
35,Self-emp-inc,Assoc-voc,Craft-repair,55,0
40,Private,Masters,Exec-managerial,38,0
58,Private,Bachelors,Exec-managerial,40,1
18,Private,HS-grad,Adm-clerical,20,0
19,Private,HS-grad,Machine-op-inspct,40,0
24,Self-emp-inc,HS-grad,Other-service,50,1
62,Self-emp-not-inc,HS-grad,Exec-managerial,60,0
31,Private,Some-college,Craft-repair,65,0
51,Private,Bachelors,Exec-managerial,55,0
50,Private,Bachelors,Transport-moving,40,1
23,Private,Some-college,Handlers-cleaners,15,0
22,Private,HS-grad,Other-service,35,0
29,Private,Some-college,Craft-repair,50,0
26,Private,Bachelors,Transport-moving,20,0
56,?,Some-college,?,20,0
41,Private,Some-college,Prof-specialty,50,0
39,Private,Masters,Exec-managerial,50,1
60,Private,HS-grad,Craft-repair,40,0
48,Private,Assoc-acdm,Prof-specialty,45,0
64,Federal-gov,Some-college,Adm-clerical,40,1
31,Private,HS-grad,Other-service,65,0
47,Private,Masters,Prof-specialty,2,1
35,Local-gov,Some-college,Adm-clerical,40,0
20,Private,HS-grad,Other-service,38,0
49,Self-emp-not-inc,Assoc-voc,Exec-managerial,40,0
25,Local-gov,HS-grad,Other-service,40,0
35,Private,Bachelors,Exec-managerial,50,0
42,Local-gov,Bachelors,Prof-specialty,50,0
23,Private,Assoc-voc,Adm-clerical,36,0
38,Private,Bachelors,Adm-clerical,50,0
81,Private,7th-8th,Machine-op-inspct,40,0
35,Private,11th,Machine-op-inspct,40,0
51,Private,Some-college,Handlers-cleaners,48,0
37,Federal-gov,Masters,Exec-managerial,40,0
43,Federal-gov,Assoc-voc,Craft-repair,40,0
22,Private,Some-college,Transport-moving,40,0
50,Private,Some-college,Transport-moving,40,0
23,Private,Assoc-acdm,Other-service,20,0
20,Private,Some-college,Adm-clerical,40,0
37,Private,HS-grad,Craft-repair,40,0
42,Local-gov,Bachelors,Prof-specialty,50,0
33,Self-emp-inc,HS-grad,Craft-repair,50,0
17,Private,HS-grad,Adm-clerical,5,0
45,Private,Doctorate,Prof-specialty,40,1
22,Private,Assoc-voc,Exec-managerial,40,0
49,Private,12th,Other-service,45,0
44,Private,7th-8th,Handlers-cleaners,50,0
20,Private,HS-grad,Protective-serv,40,0
46,Private,HS-grad,Machine-op-inspct,20,0
38,Private,HS-grad,Sales,46,0
59,Private,10th,Transport-moving,40,0
54,Private,Some-college,Sales,40,0
46,Private,HS-grad,Adm-clerical,37,0
22,Private,Some-college,Protective-serv,25,0
34,Private,HS-grad,Transport-moving,48,0
48,Private,Bachelors,Exec-managerial,60,1
40,Private,Assoc-acdm,Adm-clerical,40,0
57,Self-emp-not-inc,Some-college,Farming-fishing,50,0
43,Private,Some-college,Exec-managerial,45,0
43,Local-gov,Bachelors,Prof-specialty,50,0
52,Self-emp-inc,Some-college,Exec-managerial,65,1
20,Private,HS-grad,Craft-repair,40,0
34,Private,Some-college,Other-service,40,0
60,Self-emp-not-inc,HS-grad,Craft-repair,20,0
29,Federal-gov,Assoc-voc,Prof-specialty,40,0
41,Self-emp-not-inc,HS-grad,Farming-fishing,40,0
43,Local-gov,Assoc-voc,Adm-clerical,40,0
23,Private,Some-college,Tech-support,42,0
30,Local-gov,HS-grad,Protective-serv,32,0
52,Private,Some-college,Sales,45,1
41,Local-gov,Some-college,Other-service,24,0
30,Private,Bachelors,Sales,65,0
36,Private,Assoc-voc,Exec-managerial,40,0
20,Private,HS-grad,Sales,60,0
39,Private,Some-college,Adm-clerical,60,0
30,Local-gov,HS-grad,Other-service,40,0
30,Private,Some-college,Adm-clerical,40,0
21,Private,12th,Machine-op-inspct,25,0
59,Private,Prof-school,Prof-specialty,40,1
32,Federal-gov,HS-grad,Tech-support,40,0
33,Private,HS-grad,Transport-moving,40,0
51,Private,Doctorate,Prof-specialty,99,0
28,Private,HS-grad,Craft-repair,40,0
54,Private,HS-grad,Machine-op-inspct,45,1
26,Private,Bachelors,Adm-clerical,24,0
37,Private,Some-college,Sales,40,0
30,Private,Bachelors,Sales,60,0
42,Private,Bachelors,Adm-clerical,55,1
27,Local-gov,Bachelors,Prof-specialty,35,0
31,Private,Bachelors,Transport-moving,55,0
32,Self-emp-inc,Bachelors,Sales,45,0
35,Private,HS-grad,Craft-repair,40,0
27,Self-emp-not-inc,Bachelors,Sales,40,0
40,Self-emp-not-inc,Bachelors,Exec-managerial,40,0
48,Local-gov,Bachelors,Adm-clerical,35,0
33,Private,Assoc-acdm,Sales,32,0
44,Private,11th,Machine-op-inspct,40,0
75,Self-emp-not-inc,Some-college,Exec-managerial,35,0
49,State-gov,HS-grad,Tech-support,40,0
37,Private,Bachelors,Craft-repair,40,0
21,Private,Some-college,Handlers-cleaners,40,0
38,Private,10th,Craft-repair,45,0
22,Private,Some-college,Tech-support,15,0
50,Private,HS-grad,Other-service,45,0
47,Private,HS-grad,Adm-clerical,38,0
34,Private,Prof-school,Prof-specialty,40,0
49,Private,Bachelors,Exec-managerial,60,1
34,Private,Assoc-voc,Craft-repair,40,0
30,Private,Masters,Prof-specialty,30,0
21,Private,HS-grad,Other-service,20,0
26,Self-emp-not-inc,Assoc-voc,Other-service,55,0
30,Private,Bachelors,Prof-specialty,45,0
74,Private,10th,Protective-serv,40,0
37,Private,Bachelors,Exec-managerial,47,0
57,Self-emp-not-inc,Bachelors,Exec-managerial,13,1
49,Private,Bachelors,Handlers-cleaners,40,0
42,Local-gov,Masters,Prof-specialty,45,0
45,Private,HS-grad,Handlers-cleaners,48,1
35,Private,Some-college,Craft-repair,40,0
37,Private,Assoc-voc,Prof-specialty,40,0
51,Private,HS-grad,Handlers-cleaners,40,0
42,Private,Bachelors,Adm-clerical,40,0
44,Private,Bachelors,Other-service,48,0
22,?,Some-college,?,40,0
52,Private,HS-grad,Transport-moving,50,0
25,Private,Some-college,Craft-repair,30,0
78,Private,HS-grad,Other-service,12,0
37,Private,HS-grad,Transport-moving,40,0
24,Private,HS-grad,Craft-repair,50,0
45,Private,Assoc-voc,Sales,50,0
46,Federal-gov,Doctorate,Prof-specialty,50,1
40,Federal-gov,Bachelors,Adm-clerical,40,0
19,?,Some-college,?,40,0
40,Local-gov,HS-grad,Farming-fishing,40,0
35,?,9th,?,38,0
31,Local-gov,HS-grad,Protective-serv,55,0
55,Private,HS-grad,Transport-moving,35,0
34,Self-emp-not-inc,HS-grad,Transport-moving,75,1
31,Self-emp-not-inc,Assoc-voc,Craft-repair,20,0
32,Private,7th-8th,Farming-fishing,35,0
38,Private,Assoc-voc,Craft-repair,40,0
49,Self-emp-not-inc,HS-grad,Craft-repair,40,0
37,Private,HS-grad,Adm-clerical,25,0
17,?,11th,?,15,0
53,Self-emp-not-inc,7th-8th,Exec-managerial,50,1
52,Private,HS-grad,Farming-fishing,60,0
60,Private,HS-grad,Other-service,25,0
30,Private,HS-grad,Sales,50,0
17,Private,11th,Adm-clerical,23,0
34,Self-emp-not-inc,Some-college,Craft-repair,40,0
24,Local-gov,HS-grad,Protective-serv,40,0
31,Private,Some-college,Other-service,50,0
33,Private,9th,Transport-moving,50,0
45,Private,Assoc-voc,Other-service,10,0
52,Private,HS-grad,Sales,44,0
22,Self-emp-not-inc,Assoc-voc,Farming-fishing,35,0
24,Private,HS-grad,Adm-clerical,45,0
38,Private,12th,Other-service,17,0
48,Private,HS-grad,Adm-clerical,37,0
53,Federal-gov,Some-college,Prof-specialty,40,0
43,Private,Bachelors,Craft-repair,45,0
29,Private,11th,Other-service,70,0
28,Private,Some-college,Other-service,30,0
33,Private,Assoc-voc,Craft-repair,60,0
37,Federal-gov,HS-grad,Adm-clerical,40,0
25,Private,Some-college,Adm-clerical,50,0
51,Private,7th-8th,Machine-op-inspct,40,0
53,Private,HS-grad,Craft-repair,40,0
29,Private,HS-grad,Craft-repair,45,0
44,Self-emp-inc,Bachelors,Exec-managerial,45,1
34,Private,HS-grad,Machine-op-inspct,40,0
41,Local-gov,HS-grad,Protective-serv,40,0
31,Private,Assoc-voc,Sales,38,0
41,State-gov,HS-grad,Prof-specialty,40,0
38,Private,Some-college,Adm-clerical,45,0
39,Local-gov,HS-grad,Other-service,30,0
36,Self-emp-inc,Prof-school,Prof-specialty,80,1
39,Federal-gov,Some-college,Exec-managerial,40,0
60,?,9th,?,35,0
32,Private,12th,Sales,45,0
44,Self-emp-not-inc,HS-grad,Exec-managerial,45,1
53,Private,HS-grad,Adm-clerical,40,0
22,State-gov,Assoc-voc,Adm-clerical,10,0
51,Private,HS-grad,Craft-repair,50,0
32,Private,Bachelors,Exec-managerial,40,1
59,Private,Some-college,Adm-clerical,40,0
45,Private,11th,Other-service,32,0
22,Private,Bachelors,Farming-fishing,20,0
53,Local-gov,HS-grad,Other-service,30,0
21,Private,Some-college,Adm-clerical,40,0
38,Private,Some-college,Sales,40,0
75,Self-emp-not-inc,HS-grad,Farming-fishing,15,0
60,Private,HS-grad,Tech-support,40,1
69,Private,9th,Craft-repair,40,0
36,Private,HS-grad,Exec-managerial,38,0
41,Self-emp-inc,Masters,Prof-specialty,70,0
40,Self-emp-not-inc,Masters,Sales,50,0
23,Private,HS-grad,Handlers-cleaners,40,0
54,Private,HS-grad,Craft-repair,40,1
18,Never-worked,Some-college,?,4,0
49,Federal-gov,Some-college,Adm-clerical,40,0
43,Local-gov,Some-college,Farming-fishing,40,0
30,Private,HS-grad,Handlers-cleaners,40,0
36,Private,HS-grad,Craft-repair,40,0
25,Private,HS-grad,Adm-clerical,40,0
39,Private,Bachelors,Prof-specialty,40,1
46,Self-emp-not-inc,Bachelors,Craft-repair,40,0
19,Self-emp-inc,HS-grad,Sales,40,0
33,Private,Assoc-acdm,Sales,45,0
45,Private,HS-grad,Machine-op-inspct,40,0
58,Private,HS-grad,Farming-fishing,53,1
