age,workclass,education-num,occupation,capital-gain,capital-loss,hours-per-week,income
50,Local-gov,9,Other-service,0,0,40,0
54,Self-emp-inc,13,Sales,0,2415,40,0
71,Local-gov,14,Prof-specialty,0,0,40,0
67,Private,7,Other-service,0,0,40,0
40,Private,14,Exec-managerial,0,0,50,1
31,Private,10,Adm-clerical,0,0,40,0
43,Private,14,Prof-specialty,0,0,37,0
29,Private,10,Craft-repair,0,0,45,0
41,State-gov,13,Prof-specialty,0,0,40,1
29,Private,10,Sales,0,0,25,0
36,Self-emp-inc,16,Prof-specialty,0,0,40,0
28,Private,13,Adm-clerical,0,0,40,0
33,State-gov,14,Prof-specialty,0,0,60,0
20,Private,10,Prof-specialty,0,0,24,0
47,Private,4,Handlers-cleaners,0,0,40,0
42,Private,9,Sales,0,0,40,0
28,Private,9,Handlers-cleaners,0,0,40,0
60,?,9,?,0,1848,40,1
39,Private,10,Adm-clerical,0,0,40,0
38,Private,9,Craft-repair,0,0,45,0
30,Self-emp-not-inc,11,Farming-fishing,0,0,60,0
39,Private,12,Sales,0,0,40,0
36,State-gov,16,Prof-specialty,0,0,36,1
48,Private,14,Exec-managerial,0,0,40,0
26,Private,10,Craft-repair,0,0,35,0
81,Private,15,Sales,0,0,45,0
48,Private,6,Craft-repair,0,0,65,1
47,Private,13,Farming-fishing,0,0,65,0
29,Private,11,Exec-managerial,0,0,40,0
46,Private,9,Handlers-cleaners,0,0,48,0
45,Local-gov,10,Prof-specialty,7688,0,50,1
34,Private,6,Craft-repair,0,0,40,0
50,Private,9,Sales,0,0,40,0
47,Local-gov,14,Prof-specialty,0,0,45,1
64,Self-emp-not-inc,9,Craft-repair,0,0,50,0
32,Private,9,Machine-op-inspct,0,0,40,0
23,?,10,?,0,0,15,0
23,Private,6,Handlers-cleaners,0,0,40,0
68,Self-emp-not-inc,9,Exec-managerial,0,0,10,0
21,Local-gov,9,Other-service,0,0,40,0
51,Private,14,Protective-serv,0,1977,40,1
24,Local-gov,13,Prof-specialty,0,0,20,0
24,State-gov,13,Prof-specialty,0,0,20,0
37,Private,9,Machine-op-inspct,0,0,40,0
48,Private,16,Prof-specialty,0,0,40,1
43,Federal-gov,13,Tech-support,0,0,50,0
20,Private,10,Sales,0,0,20,0
45,Self-emp-inc,15,Prof-specialty,0,0,55,1
37,Private,13,Exec-managerial,0,0,50,0
35,?,10,?,0,0,40,0
26,Private,10,Machine-op-inspct,0,0,45,1
31,State-gov,14,Exec-managerial,0,0,50,1
30,Private,5,Sales,0,0,40,0
39,Private,13,Tech-support,0,0,40,0
25,Private,9,Adm-clerical,0,0,40,0
61,Private,1,Transport-moving,14344,0,40,0
27,Private,11,Sales,0,0,50,0
31,Private,9,Tech-support,0,0,40,0
47,Private,9,Craft-repair,0,0,44,0
42,Private,10,Adm-clerical,0,0,40,0
37,Private,10,Exec-managerial,0,0,42,1
33,Private,9,Craft-repair,0,0,60,0
46,Private,9,Craft-repair,0,0,40,0
28,Private,9,Adm-clerical,0,0,40,0
40,Private,10,Exec-managerial,0,0,20,0
37,Self-emp-not-inc,9,Farming-fishing,0,0,50,0
38,Self-emp-not-inc,13,Prof-specialty,27828,0,35,0
26,Private,9,Other-service,0,0,35,0
50,Private,9,Handlers-cleaners,0,1980,38,0
55,Federal-gov,10,Adm-clerical,0,0,40,1
47,Private,12,Craft-repair,0,0,40,0
27,Private,10,Machine-op-inspct,0,0,40,0
66,Private,14,Sales,0,0,40,0
36,Private,12,Machine-op-inspct,0,0,50,0
22,Local-gov,13,Prof-specialty,0,0,35,0
38,Private,9,Sales,0,0,55,0
46,Self-emp-not-inc,9,Sales,0,0,50,0
29,Private,9,Craft-repair,0,0,35,0
33,Private,9,Prof-specialty,0,0,88,0
41,Self-emp-not-inc,15,Prof-specialty,15024,0,50,0
84,Private,9,Priv-house-serv,0,0,40,0
21,?,10,?,0,0,40,0
67,Self-emp-inc,9,Prof-specialty,20051,0,30,1
32,Federal-gov,15,Prof-specialty,14084,0,55,0
52,Private,6,Craft-repair,0,0,40,0
36,Private,12,Craft-repair,0,0,50,0
24,Private,9,Craft-repair,0,0,40,0
63,Self-emp-not-inc,10,Exec-managerial,0,0,50,0
42,Private,15,Prof-specialty,-31073,0,80,0
23,Private,9,Transport-moving,0,0,40,0
17,Private,7,Other-service,1055,0,20,0
36,?,12,?,0,0,21,0
20,Federal-gov,10,Adm-clerical,0,0,40,0
25,Private,10,Handlers-cleaners,0,0,40,0
34,Private,14,Exec-managerial,0,0,50,1
43,Self-emp-not-inc,15,Prof-specialty,0,0,60,0
18,Private,9,Other-service,0,0,15,0
44,Private,13,Exec-managerial,15024,0,60,1
39,Private,10,Exec-managerial,0,0,40,1
51,Private,9,Exec-managerial,0,0,40,0
18,?,8,?,0,0,25,0
30,Local-gov,8,Adm-clerical,0,0,40,0
24,Private,10,Sales,0,0,37,0
46,Private,10,Tech-support,0,1887,45,1
45,Private,13,Exec-managerial,0,0,40,1
30,Private,6,Transport-moving,0,0,55,0
24,?,13,?,0,0,40,0
49,Private,9,Craft-repair,0,0,40,0
42,Private,4,Other-service,0,0,48,0
51,State-gov,16,Prof-specialty,0,0,30,0
25,Private,13,Tech-support,0,0,40,0
42,Private,10,Adm-clerical,0,0,38,0
19,?,10,?,0,0,40,0
49,Private,9,Adm-clerical,0,0,20,0
44,Local-gov,15,Prof-specialty,10520,0,40,1
43,Private,9,Craft-repair,0,0,45,0
27,Private,10,Exec-managerial,0,0,40,0
23,Private,13,Craft-repair,0,0,40,0
20,Private,6,Handlers-cleaners,0,0,30,0
28,Private,13,Tech-support,0,0,40,1
37,Private,14,Exec-managerial,15024,0,60,0
31,Private,9,Handlers-cleaners,5013,0,40,0
51,Private,9,Handlers-cleaners,0,1902,42,0
26,Self-emp-not-inc,12,Farming-fishing,0,0,75,0
54,Private,9,Sales,0,0,50,0
22,Self-emp-not-inc,9,Farming-fishing,0,0,40,0
41,Private,9,Machine-op-inspct,0,0,48,0
25,Local-gov,13,Exec-managerial,0,0,20,0
50,Private,9,Craft-repair,0,0,40,0
28,Local-gov,12,Craft-repair,0,0,5,0
67,Self-emp-inc,13,Exec-managerial,0,2392,75,1
20,Private,9,Adm-clerical,0,1721,30,0
60,Private,11,Machine-op-inspct,0,0,45,0
47,Self-emp-inc,10,Exec-managerial,15024,0,50,0
78,Private,4,Handlers-cleaners,1797,0,15,0
42,Private,9,Exec-managerial,0,0,35,1
39,State-gov,10,Sales,0,0,40,0
45,Self-emp-inc,14,Sales,0,1902,40,0
34,Private,6,Transport-moving,0,0,60,0
28,Local-gov,11,Protective-serv,0,0,46,0
49,Self-emp-inc,10,Craft-repair,0,0,55,0
45,Private,9,Machine-op-inspct,0,0,40,0
60,Self-emp-inc,9,Craft-repair,0,0,40,0
33,Private,6,Farming-fishing,0,0,40,0
42,Private,10,Craft-repair,0,0,30,0
21,Private,10,Other-service,0,0,32,0
49,Private,9,Adm-clerical,0,0,40,0
24,Private,11,Tech-support,0,0,38,0
45,Private,11,Craft-repair,15024,0,40,1
26,Private,5,Craft-repair,0,0,45,0
20,Private,10,Exec-managerial,0,0,30,0
23,Private,13,Exec-managerial,0,0,40,0
32,Private,13,Prof-specialty,0,0,40,0
39,?,6,?,0,0,15,0
46,Private,10,Adm-clerical,0,0,35,0
54,Private,9,Other-service,0,0,40,0
25,Private,11,Prof-specialty,0,0,36,0
56,Private,9,Craft-repair,0,0,40,0
28,Private,10,Adm-clerical,0,0,40,0
36,Private,9,Adm-clerical,0,0,40,0
23,Private,10,Tech-support,0,0,20,0
44,Private,10,Tech-support,7688,0,40,0
20,Private,10,Handlers-cleaners,0,0,40,0
28,Local-gov,9,Craft-repair,0,0,40,0
19,Private,10,Sales,0,0,35,0
28,Private,13,Exec-managerial,0,0,40,0
73,Private,7,Machine-op-inspct,0,0,15,0
56,Private,6,Machine-op-inspct,0,0,40,0
49,?,9,?,0,0,40,0
32,Private,14,Exec-managerial,0,0,60,1
33,Local-gov,13,Prof-specialty,0,0,40,0
35,Private,7,Craft-repair,0,2057,40,0
44,Private,9,Craft-repair,14344,0,40,1
24,Private,11,Sales,0,0,40,0
37,State-gov,9,Protective-serv,0,0,40,0
51,Local-gov,9,Protective-serv,0,0,40,1
28,Private,10,Sales,0,0,45,0
33,Private,10,Sales,0,0,48,1
70,Self-emp-inc,9,Exec-managerial,0,0,16,0
51,Self-emp-not-inc,9,Exec-managerial,-31073,0,60,0
41,Federal-gov,14,Prof-specialty,0,0,40,0
34,Private,10,Craft-repair,0,1651,38,0
64,Self-emp-inc,9,Adm-clerical,20051,0,40,1
35,Private,10,Transport-moving,0,0,40,0
56,Private,9,Other-service,0,0,10,0
43,Federal-gov,14,Protective-serv,0,0,35,1
20,Private,9,Sales,0,0,30,0
33,Private,13,Exec-managerial,0,1902,60,0
45,State-gov,16,Prof-specialty,0,0,40,1
38,Private,9,Transport-moving,0,0,40,0
22,Private,9,Other-service,14084,0,60,0
62,Self-emp-not-inc,13,Prof-specialty,0,0,40,1
49,State-gov,14,Prof-specialty,0,0,45,1
23,Private,9,Machine-op-inspct,0,0,48,0
59,Private,9,Adm-clerical,2414,0,15,0
36,Private,13,Other-service,0,0,40,0
32,Private,10,Adm-clerical,0,0,40,0
28,Private,10,Tech-support,0,0,70,0
45,Private,9,Priv-house-serv,0,0,30,0
19,Private,10,Sales,0,0,20,0
59,Private,9,Farming-fishing,0,0,48,0
26,Private,13,Adm-clerical,0,0,40,0
17,Private,7,Other-service,0,0,20,0
61,Private,10,Exec-managerial,0,0,40,0
64,Private,9,Transport-moving,0,0,45,0
43,Self-emp-not-inc,13,Machine-op-inspct,0,0,80,0
36,Private,7,Transport-moving,0,0,43,0
37,Private,13,Exec-managerial,7688,0,45,1
26,Federal-gov,9,Adm-clerical,0,0,40,0
26,Private,11,Craft-repair,0,0,65,0
48,State-gov,13,Exec-managerial,0,0,40,1
38,Private,9,Adm-clerical,0,0,20,0
25,Private,13,Prof-specialty,0,0,40,0
35,Private,9,Transport-moving,0,0,48,0
53,Private,8,Farming-fishing,0,0,40,0
22,Private,10,Other-service,0,0,40,0
32,Private,9,Handlers-cleaners,0,0,40,0
40,Self-emp-inc,13,Sales,0,0,45,0
21,Private,9,Farming-fishing,0,0,20,0
46,Private,11,Craft-repair,0,0,40,0
24,Private,9,Other-service,0,0,40,0
49,Private,9,Machine-op-inspct,0,0,40,0
42,Self-emp-inc,10,Exec-managerial,0,0,60,0
34,Private,10,Transport-moving,2174,0,40,0
28,Private,13,Sales,0,0,40,0
34,Private,10,Exec-managerial,0,0,45,0
32,Private,12,Tech-support,0,0,42,1
25,Private,10,Sales,0,0,25,0
21,Private,9,Other-service,0,0,40,0
43,Private,14,Prof-specialty,0,0,55,0
74,Self-emp-not-inc,13,Exec-managerial,0,1825,12,1
19,State-gov,10,Prof-specialty,0,0,40,0
60,Private,9,Transport-moving,0,0,40,0
44,Private,13,Prof-specialty,0,0,40,0
36,Private,9,Adm-clerical,0,0,40,0
44,Private,13,Exec-managerial,7298,0,48,1
40,Local-gov,9,Adm-clerical,0,0,40,0
57,Private,14,Exec-managerial,0,0,40,0
25,Private,13,Sales,0,0,40,0
56,Self-emp-inc,15,Prof-specialty,0,0,32,1
39,Self-emp-not-inc,9,Craft-repair,0,0,40,0
20,Self-emp-not-inc,10,Farming-fishing,0,0,40,0
20,Private,9,Craft-repair,0,0,40,0
41,Private,9,Transport-moving,7443,0,40,0
61,Private,10,Adm-clerical,7688,0,40,1
71,?,9,?,0,0,40,0
44,Private,10,Exec-managerial,0,0,40,1
32,Private,7,Craft-repair,0,2042,30,0
31,Self-emp-inc,9,Craft-repair,0,0,45,0
18,Private,9,Other-service,0,0,35,0
26,Private,14,Exec-managerial,0,0,48,0
19,Private,9,Farming-fishing,0,0,40,0
24,Private,13,Prof-specialty,0,0,40,0
55,Self-emp-not-inc,14,Sales,2228,0,50,0
48,Local-gov,9,Craft-repair,0,0,40,0
45,Private,9,Exec-managerial,0,0,46,0
64,Self-emp-not-inc,13,Adm-clerical,0,0,5,0
19,Private,5,Farming-fishing,0,0,16,0
36,Private,9,Transport-moving,0,0,43,0
32,Private,10,Craft-repair,0,0,40,0
51,Federal-gov,16,Prof-specialty,4386,0,52,1
19,Private,9,Craft-repair,0,0,40,0
29,Private,9,Handlers-cleaners,0,0,40,0
36,Private,10,Craft-repair,2174,0,60,0
76,?,5,?,0,0,25,0
50,Self-emp-inc,7,Exec-managerial,0,2444,40,1
33,Private,10,Machine-op-inspct,0,0,40,0
41,State-gov,16,Prof-specialty,0,0,40,1
63,Private,9,Sales,0,0,40,0
73,Private,10,Sales,0,0,20,0
29,Private,10,Craft-repair,2202,0,45,0
38,Self-emp-not-inc,11,Exec-managerial,0,0,35,0
40,Private,9,Craft-repair,0,1887,40,0
34,State-gov,9,Other-service,0,0,40,0
23,Private,10,Other-service,0,0,40,0
33,Private,8,Adm-clerical,0,0,40,0
61,Local-gov,14,Prof-specialty,0,0,25,0
42,Self-emp-not-inc,10,Farming-fishing,0,0,66,0
27,Private,13,Exec-managerial,0,0,52,0
41,State-gov,11,Craft-repair,0,0,40,0
19,Private,10,Other-service,0,0,25,0
25,Private,11,Craft-repair,0,0,40,0
33,Self-emp-not-inc,10,Craft-repair,0,0,40,0
40,Private,6,Craft-repair,0,0,55,0
19,?,10,?,0,0,40,0
42,Private,10,Sales,0,0,45,0
51,Private,9,Sales,0,0,40,0
28,Private,9,Sales,0,0,40,0
39,Private,7,Craft-repair,0,0,35,0
30,Private,11,Sales,0,0,40,1
29,Private,10,Machine-op-inspct,0,0,38,0
17,Private,5,Farming-fishing,0,0,20,0
67,Local-gov,9,Protective-serv,0,0,20,0
20,Private,9,Sales,0,0,30,0
74,State-gov,16,Prof-specialty,0,3683,20,1
18,Private,9,Sales,0,0,25,0
21,Private,10,Exec-managerial,2463,0,50,0
27,Private,11,Sales,0,0,60,0
38,Private,9,Transport-moving,0,0,99,0
23,Private,10,Sales,0,0,40,0
73,State-gov,9,Adm-clerical,0,0,40,0
69,Self-emp-not-inc,13,Prof-specialty,20051,0,45,1
17,Private,6,Other-service,0,0,14,0
35,Self-emp-inc,11,Craft-repair,0,0,55,0
40,Private,14,Exec-managerial,0,0,38,0
58,Private,13,Exec-managerial,0,0,40,1
18,Private,9,Adm-clerical,0,0,20,0
19,Private,9,Machine-op-inspct,0,0,40,0
24,Self-emp-inc,9,Other-service,13550,0,50,1
62,Self-emp-not-inc,9,Exec-managerial,0,0,60,0
31,Private,10,Craft-repair,2407,0,65,0
51,Private,13,Exec-managerial,0,0,55,0
50,Private,13,Transport-moving,7298,0,40,1
23,Private,10,Handlers-cleaners,0,0,15,0
22,Private,9,Other-service,0,0,35,0
29,Private,10,Craft-repair,0,0,50,0
26,Private,13,Transport-moving,0,0,20,0
56,?,10,?,0,0,20,0
41,Private,10,Prof-specialty,0,0,50,0
39,Private,14,Exec-managerial,0,0,50,1
60,Private,9,Craft-repair,0,0,40,0
48,Private,12,Prof-specialty,0,0,45,0
64,Federal-gov,10,Adm-clerical,0,0,40,1
31,Private,9,Other-service,0,0,65,0
47,Private,14,Prof-specialty,0,0,2,1
35,Local-gov,10,Adm-clerical,0,0,40,0
20,Private,9,Other-service,0,0,38,0
49,Self-emp-not-inc,11,Exec-managerial,0,0,40,0
25,Local-gov,9,Other-service,0,0,40,0
35,Private,13,Exec-managerial,0,1977,50,0
42,Local-gov,13,Prof-specialty,3103,0,50,0
23,Private,11,Adm-clerical,0,0,36,0
38,Private,13,Adm-clerical,0,0,50,0
81,Private,4,Machine-op-inspct,1264,0,40,0
35,Private,7,Machine-op-inspct,0,0,40,0
51,Private,10,Handlers-cleaners,3464,0,48,0
37,Federal-gov,14,Exec-managerial,0,0,40,0
43,Federal-gov,11,Craft-repair,0,0,40,0
22,Private,10,Transport-moving,0,0,40,0
50,Private,10,Transport-moving,0,0,40,0
23,Private,12,Other-service,0,0,20,0
20,Private,10,Adm-clerical,0,0,40,0
37,Private,9,Craft-repair,0,0,40,0
42,Local-gov,13,Prof-specialty,0,0,50,0
33,Self-emp-inc,9,Craft-repair,0,1876,50,0
17,Private,9,Adm-clerical,0,0,5,0
45,Private,16,Prof-specialty,15020,0,40,1
22,Private,11,Exec-managerial,0,0,40,0
49,Private,8,Other-service,0,0,45,0
44,Private,4,Handlers-cleaners,0,0,50,0
20,Private,9,Protective-serv,0,0,40,0
46,Private,9,Machine-op-inspct,0,0,20,0
38,Private,9,Sales,0,0,46,0
59,Private,6,Transport-moving,0,0,40,0
54,Private,10,Sales,0,0,40,0
46,Private,9,Adm-clerical,0,0,37,0
22,Private,10,Protective-serv,0,0,25,0
34,Private,9,Transport-moving,0,0,48,0
48,Private,13,Exec-managerial,0,0,60,1
40,Private,12,Adm-clerical,0,0,40,0
57,Self-emp-not-inc,10,Farming-fishing,0,0,50,0
43,Private,10,Exec-managerial,0,0,45,0
43,Local-gov,13,Prof-specialty,0,0,50,0
52,Self-emp-inc,10,Exec-managerial,0,0,65,1
20,Private,9,Craft-repair,0,0,40,0
34,Private,10,Other-service,0,0,40,0
60,Self-emp-not-inc,9,Craft-repair,0,0,20,0
29,Federal-gov,11,Prof-specialty,0,0,40,0
41,Self-emp-not-inc,9,Farming-fishing,0,0,40,0
43,Local-gov,11,Adm-clerical,0,0,40,0
23,Private,10,Tech-support,0,0,42,0
30,Local-gov,9,Protective-serv,0,0,32,0
52,Private,10,Sales,7298,0,45,1
41,Local-gov,10,Other-service,0,0,24,0
30,Private,13,Sales,0,0,65,0
36,Private,11,Exec-managerial,0,0,40,0
20,Private,9,Sales,0,0,60,0
39,Private,10,Adm-clerical,0,0,60,0
30,Local-gov,9,Other-service,0,0,40,0
30,Private,10,Adm-clerical,0,0,40,0
21,Private,8,Machine-op-inspct,0,0,25,0
59,Private,15,Prof-specialty,-31073,0,40,1
32,Federal-gov,9,Tech-support,0,0,40,0
33,Private,9,Transport-moving,0,0,40,0
51,Private,16,Prof-specialty,0,0,99,0
28,Private,9,Craft-repair,0,0,40,0
54,Private,9,Machine-op-inspct,0,0,45,1
26,Private,13,Adm-clerical,0,0,24,0
37,Private,10,Sales,0,2258,40,0
30,Private,13,Sales,0,0,60,0
42,Private,13,Adm-clerical,0,0,55,1
27,Local-gov,13,Prof-specialty,0,0,35,0
31,Private,13,Transport-moving,0,0,55,0
32,Self-emp-inc,13,Sales,0,0,45,0
35,Private,9,Craft-repair,0,1740,40,0
27,Self-emp-not-inc,13,Sales,0,0,40,0
40,Self-emp-not-inc,13,Exec-managerial,0,1977,40,0
48,Local-gov,13,Adm-clerical,0,0,35,0
33,Private,12,Sales,0,0,32,0
44,Private,7,Machine-op-inspct,0,0,40,0
75,Self-emp-not-inc,10,Exec-managerial,0,2149,35,0
49,State-gov,9,Tech-support,0,0,40,0
37,Private,13,Craft-repair,0,1980,40,0
21,Private,10,Handlers-cleaners,0,0,40,0
38,Private,6,Craft-repair,0,0,45,0
22,Private,10,Tech-support,0,0,15,0
50,Private,9,Other-service,0,0,45,0
47,Private,9,Adm-clerical,0,0,38,0
34,Private,15,Prof-specialty,0,0,40,0
49,Private,13,Exec-managerial,27828,0,60,1
34,Private,11,Craft-repair,0,0,40,0
30,Private,14,Prof-specialty,0,0,30,0
21,Private,9,Other-service,0,0,20,0
26,Self-emp-not-inc,11,Other-service,0,0,55,0
30,Private,13,Prof-specialty,0,0,45,0
74,Private,6,Protective-serv,0,1411,40,0
37,Private,13,Exec-managerial,3411,0,47,0
57,Self-emp-not-inc,13,Exec-managerial,4386,0,13,1
49,Private,13,Handlers-cleaners,0,0,40,0
42,Local-gov,14,Prof-specialty,0,0,45,0
45,Private,9,Handlers-cleaners,0,0,48,1
35,Private,10,Craft-repair,0,0,40,0
37,Private,11,Prof-specialty,0,0,40,0
51,Private,9,Handlers-cleaners,0,0,40,0
42,Private,13,Adm-clerical,0,0,40,0
44,Private,13,Other-service,0,0,48,0
22,?,10,?,0,0,40,0
52,Private,9,Transport-moving,0,0,50,0
25,Private,10,Craft-repair,0,0,30,0
78,Private,9,Other-service,0,0,12,0
37,Private,9,Transport-moving,0,0,40,0
24,Private,9,Craft-repair,0,0,50,0
45,Private,11,Sales,0,0,50,0
46,Federal-gov,16,Prof-specialty,0,1564,50,1
40,Federal-gov,13,Adm-clerical,0,0,40,0
19,?,10,?,0,0,40,0
40,Local-gov,9,Farming-fishing,0,0,40,0
35,?,5,?,0,0,38,0
31,Local-gov,9,Protective-serv,0,0,55,0
55,Private,9,Transport-moving,0,0,35,0
34,Self-emp-not-inc,9,Transport-moving,0,0,75,1
31,Self-emp-not-inc,11,Craft-repair,0,0,20,0
32,Private,4,Farming-fishing,0,0,35,0
38,Private,11,Craft-repair,0,0,40,0
49,Self-emp-not-inc,9,Craft-repair,0,0,40,0
37,Private,9,Adm-clerical,0,0,25,0
17,?,7,?,0,0,15,0
53,Self-emp-not-inc,4,Exec-managerial,4386,0,50,1
52,Private,9,Farming-fishing,0,0,60,0
60,Private,9,Other-service,0,0,25,0
30,Private,9,Sales,0,0,50,0
17,Private,7,Adm-clerical,0,0,23,0
34,Self-emp-not-inc,10,Craft-repair,0,0,40,0
24,Local-gov,9,Protective-serv,0,0,40,0
31,Private,10,Other-service,0,0,50,0
33,Private,5,Transport-moving,0,0,50,0
45,Private,11,Other-service,0,0,10,0
52,Private,9,Sales,0,0,44,0
22,Self-emp-not-inc,11,Farming-fishing,0,0,35,0
24,Private,9,Adm-clerical,0,0,45,0
38,Private,8,Other-service,0,0,17,0
48,Private,9,Adm-clerical,0,0,37,0
53,Federal-gov,10,Prof-specialty,0,0,40,0
43,Private,13,Craft-repair,0,0,45,0
29,Private,7,Other-service,0,0,70,0
28,Private,10,Other-service,0,0,30,0
33,Private,11,Craft-repair,0,0,60,0
37,Federal-gov,9,Adm-clerical,0,0,40,0
25,Private,10,Adm-clerical,0,0,50,0
51,Private,4,Machine-op-inspct,0,0,40,0
53,Private,9,Craft-repair,0,0,40,0
29,Private,9,Craft-repair,0,0,45,0
44,Self-emp-inc,13,Exec-managerial,0,0,45,1
34,Private,9,Machine-op-inspct,0,0,40,0
41,Local-gov,9,Protective-serv,0,0,40,0
31,Private,11,Sales,0,0,38,0
41,State-gov,9,Prof-specialty,0,0,40,0
38,Private,10,Adm-clerical,0,0,45,0
39,Local-gov,9,Other-service,2885,0,30,0
36,Self-emp-inc,15,Prof-specialty,0,0,80,1
39,Federal-gov,10,Exec-managerial,0,0,40,0
60,?,5,?,0,0,35,0
32,Private,8,Sales,0,1762,45,0
44,Self-emp-not-inc,9,Exec-managerial,0,1977,45,1
53,Private,9,Adm-clerical,0,0,40,0
22,State-gov,11,Adm-clerical,0,0,10,0
51,Private,9,Craft-repair,0,0,50,0
32,Private,13,Exec-managerial,0,0,40,1
59,Private,10,Adm-clerical,0,0,40,0
45,Private,7,Other-service,0,0,32,0
22,Private,13,Farming-fishing,0,0,20,0
53,Local-gov,9,Other-service,0,0,30,0
21,Private,10,Adm-clerical,2174,0,40,0
38,Private,10,Sales,0,0,40,0
75,Self-emp-not-inc,9,Farming-fishing,0,0,15,0
60,Private,9,Tech-support,0,0,40,1
69,Private,5,Craft-repair,2993,0,40,0
36,Private,9,Exec-managerial,0,0,38,0
41,Self-emp-inc,14,Prof-specialty,0,0,70,0
40,Self-emp-not-inc,14,Sales,3103,0,50,0
